wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
465,0.8956,0.9892,0.9886,0.9926,0.4497,0.7099,0.9075,0.2843,0.2518
466,0.8975,0.9893,0.9887,0.9927,0.4531,0.7099,0.9070,0.2863,0.2542
467,0.8994,0.9894,0.9887,0.9927,0.4564,0.7099,0.9065,0.2883,0.2565
468,0.9013,0.9895,0.9888,0.9927,0.4598,0.7099,0.9060,0.2903,0.2589
469,0.9032,0.9895,0.9888,0.9928,0.4632,0.7099,0.9055,0.2923,0.2612
470,0.9052,0.9896,0.9888,0.9928,0.4666,0.7099,0.9050,0.2943,0.2636
471,0.9071,0.9897,0.9889,0.9929,0.4700,0.7099,0.9045,0.2963,0.2660
472,0.9090,0.9898,0.9889,0.9929,0.4735,0.7099,0.9040,0.2983,0.2684
473,0.9110,0.9899,0.9890,0.9929,0.4769,0.7099,0.9035,0.3003,0.2708
474,0.9129,0.9899,0.9890,0.9930,0.4803,0.7099,0.9030,0.3023,0.2732
475,0.9149,0.9900,0.9890,0.9930,0.4837,0.7099,0.9025,0.3044,0.2757
476,0.9159,0.9901,0.9891,0.9931,0.4872,0.7099,0.9020,0.3064,0.2778
477,0.9170,0.9902,0.9891,0.9931,0.4906,0.7099,0.9015,0.3084,0.2800
478,0.9180,0.9903,0.9891,0.9931,0.4940,0.7099,0.9010,0.3104,0.2822
479,0.9191,0.9903,0.9892,0.9932,0.4975,0.7099,0.9005,0.3124,0.2844
480,0.9201,0.9904,0.9892,0.9932,0.5009,0.7099,0.9000,0.3144,0.2866
481,0.9212,0.9905,0.9893,0.9933,0.5044,0.7099,0.8995,0.3165,0.2887
482,0.9222,0.9906,0.9893,0.9933,0.5079,0.7099,0.8990,0.3185,0.2909
483,0.9233,0.9907,0.9893,0.9933,0.5113,0.7099,0.8985,0.3205,0.2931
484,0.9243,0.9907,0.9894,0.9934,0.5148,0.7099,0.8980,0.3225,0.2954
485,0.9254,0.9908,0.9894,0.9934,0.5182,0.7099,0.8975,0.3245,0.2976
486,0.9264,0.9909,0.9895,0.9935,0.5217,0.7099,0.8970,0.3265,0.2998
487,0.9275,0.9910,0.9895,0.9935,0.5252,0.7099,0.8965,0.3286,0.3020
488,0.9286,0.9911,0.9895,0.9935,0.5287,0.7099,0.8960,0.3306,0.3042
489,0.9296,0.9911,0.9896,0.9936,0.5321,0.7099,0.8955,0.3326,0.3064
490,0.9307,0.9912,0.9896,0.9936,0.5356,0.7099,0.8950,0.3346,0.3087
491,0.9317,0.9913,0.9897,0.9937,0.5391,0.7099,0.8945,0.3366,0.3109
492,0.9328,0.9914,0.9897,0.9937,0.5426,0.7099,0.8940,0.3386,0.3131
493,0.9339,0.9915,0.9897,0.9937,0.5460,0.7099,0.8935,0.3406,0.3154
494,0.9349,0.9915,0.9898,0.9938,0.5495,0.7099,0.8930,0.3426,0.3176
495,0.9360,0.9916,0.9898,0.9938,0.5530,0.7099,0.8925,0.3446,0.3199
496,0.9371,0.9917,0.9899,0.9938,0.5565,0.7099,0.8920,0.3466,0.3221
497,0.9381,0.9918,0.9899,0.9939,0.5599,0.7099,0.8915,0.3486,0.3244
498,0.9392,0.9919,0.9899,0.9939,0.5634,0.7099,0.8910,0.3506,0.3266
499,0.9403,0.9919,0.9900,0.9940,0.5669,0.7099,0.8905,0.3526,0.3289
500,0.9413,0.9920,0.9900,0.9940,0.5703,0.7099,0.8900,0.3546,0.3311
501,0.9421,0.9921,0.9900,0.9940,0.5738,0.7099,0.8898,0.3567,0.3333
502,0.9429,0.9921,0.9900,0.9940,0.5773,0.7099,0.8895,0.3587,0.3355
503,0.9436,0.9921,0.9900,0.9940,0.5807,0.7099,0.8892,0.3608,0.3377
504,0.9444,0.9922,0.9900,0.9940,0.5842,0.7099,0.8890,0.3628,0.3400
505,0.9452,0.9922,0.9900,0.9940,0.5877,0.7099,0.8888,0.3649,0.3422
506,0.9459,0.9923,0.9900,0.9940,0.5911,0.7099,0.8885,0.3669,0.3444
507,0.9467,0.9923,0.9900,0.9940,0.5946,0.7099,0.8882,0.3689,0.3466
508,0.9475,0.9923,0.9900,0.9940,0.5980,0.7099,0.8880,0.3710,0.3488
509,0.9482,0.9924,0.9900,0.9940,0.6014,0.7099,0.8878,0.3730,0.3510
510,0.9490,0.9924,0.9900,0.9940,0.6049,0.7099,0.8875,0.3750,0.3532
511,0.9498,0.9925,0.9900,0.9940,0.6083,0.7099,0.8872,0.3770,0.3554
512,0.9505,0.9925,0.9900,0.9940,0.6117,0.7099,0.8870,0.3791,0.3576
513,0.9513,0.9925,0.9900,0.9940,0.6152,0.7099,0.8868,0.3811,0.3598
514,0.9521,0.9926,0.9900,0.9940,0.6186,0.7099,0.8865,0.3831,0.3620
515,0.9529,0.9926,0.9900,0.9940,0.6220,0.7099,0.8862,0.3851,0.3642
516,0.9536,0.9927,0.9900,0.9940,0.6254,0.7099,0.8860,0.3871,0.3664
517,0.9544,0.9927,0.9900,0.9940,0.6288,0.7099,0.8858,0.3891,0.3686
518,0.9552,0.9927,0.9900,0.9940,0.6322,0.7099,0.8855,0.3910,0.3708
519,0.9559,0.9928,0.9900,0.9940,0.6355,0.7099,0.8852,0.3930,0.3730
520,0.9567,0.9928,0.9900,0.9940,0.6389,0.7099,0.8850,0.3950,0.3752
521,0.9575,0.9929,0.9900,0.9940,0.6423,0.7099,0.8848,0.3970,0.3774
