wavelength_nm,TNT_mirrors_M1xM2xM3xM4,focal_reducer_L1_T,LRS_fold_mirrors_x2,LRS_collimator_T,VPH_grating_eff,Nikon_camera_T,CCD_QE_BEX2DD,LRS_only_throughput,TOTAL_system_throughput
679,0.9447,0.9909,0.9869,0.9866,0.8731,0.7099,0.9295,0.5609,0.5251
680,0.9436,0.9908,0.9868,0.9864,0.8713,0.7099,0.9300,0.5599,0.5235
681,0.9426,0.9908,0.9868,0.9863,0.8694,0.7099,0.9303,0.5588,0.5218
682,0.9415,0.9907,0.9868,0.9862,0.8674,0.7099,0.9305,0.5576,0.5201
683,0.9404,0.9907,0.9867,0.9861,0.8654,0.7099,0.9308,0.5563,0.5183
684,0.9394,0.9907,0.9867,0.9860,0.8633,0.7099,0.9310,0.5550,0.5165
685,0.9383,0.9906,0.9866,0.9859,0.8611,0.7099,0.9313,0.5537,0.5147
686,0.9372,0.9906,0.9866,0.9857,0.8589,0.7099,0.9315,0.5524,0.5128
687,0.9361,0.9905,0.9866,0.9856,0.8567,0.7099,0.9318,0.5510,0.5109
688,0.9351,0.9905,0.9865,0.9855,0.8544,0.7099,0.9320,0.5495,0.5090
689,0.9340,0.9905,0.9865,0.9854,0.8520,0.7099,0.9323,0.5481,0.5070
690,0.9330,0.9904,0.9864,0.9853,0.8496,0.7099,0.9325,0.5466,0.5050
691,0.9319,0.9904,0.9864,0.9851,0.8471,0.7099,0.9328,0.5450,0.5030
692,0.9308,0.9903,0.9864,0.9850,0.8446,0.7099,0.9330,0.5435,0.5010
693,0.9298,0.9903,0.9863,0.9849,0.8420,0.7099,0.9333,0.5419,0.4989
694,0.9287,0.9903,0.9863,0.9848,0.8393,0.7099,0.9335,0.5402,0.4968
695,0.9277,0.9902,0.9862,0.9847,0.8367,0.7099,0.9338,0.5385,0.4947
696,0.9266,0.9902,0.9862,0.9845,0.8339,0.7099,0.9340,0.5368,0.4925
697,0.9255,0.9901,0.9862,0.9844,0.8311,0.7099,0.9343,0.5351,0.4904
698,0.9245,0.9901,0.9861,0.9843,0.8283,0.7099,0.9345,0.5333,0.4882
699,0.9234,0.9901,0.9861,0.9842,0.8254,0.7099,0.9348,0.5315,0.4859
700,0.9224,0.9900,0.9860,0.9841,0.8225,0.7099,0.9350,0.5297,0.4837
701,0.9209,0.9899,0.9859,0.9834,0.8195,0.7099,0.9353,0.5275,0.4808
702,0.9194,0.9898,0.9858,0.9827,0.8164,0.7099,0.9355,0.5252,0.4779
703,0.9179,0.9897,0.9857,0.9820,0.8133,0.7099,0.9358,0.5229,0.4750
704,0.9164,0.9895,0.9856,0.9813,0.8102,0.7099,0.9360,0.5206,0.4721
705,0.9149,0.9894,0.9855,0.9806,0.8070,0.7099,0.9363,0.5183,0.4692
706,0.9134,0.9893,0.9853,0.9799,0.8038,0.7099,0.9365,0.5159,0.4662
707,0.9119,0.9892,0.9852,0.9792,0.8005,0.7099,0.9367,0.5136,0.4632
708,0.9104,0.9891,0.9851,0.9785,0.7972,0.7099,0.9370,0.5111,0.4603
709,0.9089,0.9890,0.9850,0.9778,0.7939,0.7099,0.9373,0.5087,0.4573
710,0.9074,0.9888,0.9849,0.9771,0.7905,0.7099,0.9375,0.5062,0.4542
711,0.9059,0.9887,0.9847,0.9764,0.7870,0.7099,0.9377,0.5038,0.4512
712,0.9044,0.9886,0.9846,0.9757,0.7836,0.7099,0.9380,0.5013,0.4482
713,0.9029,0.9885,0.9845,0.9751,0.7800,0.7099,0.9383,0.4987,0.4451
714,0.9015,0.9884,0.9844,0.9744,0.7765,0.7099,0.9385,0.4962,0.4421
715,0.9000,0.9882,0.9843,0.9737,0.7729,0.7099,0.9387,0.4936,0.4390
716,0.8985,0.9881,0.9841,0.9730,0.7692,0.7099,0.9390,0.4910,0.4359
717,0.8970,0.9880,0.9840,0.9723,0.7656,0.7099,0.9392,0.4884,0.4328
718,0.8956,0.9879,0.9839,0.9716,0.7618,0.7099,0.9395,0.4857,0.4297
719,0.8941,0.9878,0.9838,0.9709,0.7581,0.7099,0.9397,0.4830,0.4266
720,0.8926,0.9876,0.9837,0.9702,0.7543,0.7099,0.9400,0.4804,0.4235
721,0.8911,0.9875,0.9835,0.9696,0.7505,0.7099,0.9400,0.4775,0.4203
722,0.8897,0.9874,0.9834,0.9689,0.7466,0.7099,0.9400,0.4747,0.4170
723,0.8882,0.9873,0.9833,0.9683,0.7427,0.7099,0.9400,0.4719,0.4138
724,0.8868,0.9872,0.9832,0.9676,0.7388,0.7099,0.9400,0.4690,0.4105
725,0.8853,0.9870,0.9831,0.9669,0.7348,0.7099,0.9400,0.4661,0.4073
726,0.8834,0.9869,0.9830,0.9663,0.7309,0.7099,0.9400,0.4632,0.4038
727,0.8815,0.9868,0.9828,0.9656,0.7268,0.7099,0.9400,0.4603,0.4004
728,0.8796,0.9867,0.9827,0.9650,0.7228,0.7099,0.9400,0.4574,0.3969
729,0.8777,0.9866,0.9826,0.9643,0.7187,0.7099,0.9400,0.4544,0.3935
730,0.8758,0.9864,0.9825,0.9637,0.7146,0.7099,0.9400,0.4515,0.3900
731,0.8740,0.9863,0.9824,0.9630,0.7105,0.7099,0.9400,0.4485,0.3866
732,0.8721,0.9862,0.9822,0.9624,0.7063,0.7099,0.9400,0.4455,0.3832
733,0.8702,0.9861,0.9821,0.9617,0.7021,0.7099,0.9400,0.4425,0.3797
734,0.8683,0.9860,0.9820,0.9611,0.6979,0.7099,0.9400,0.4395,0.3763
735,0.8665,0.9859,0.9819,0.9604,0.6937,0.7099,0.9400,0.4365,0.3728
736,0.8646,0.9857,0.9818,0.9597,0.6894,0.7099,0.9400,0.4335,0.3694
737,0.8627,0.9856,0.9816,0.9591,0.6851,0.7099,0.9400,0.4304,0.3660
738,0.8609,0.9855,0.9815,0.9584,0.6808,0.7099,0.9400,0.4274,0.3626
739,0.8590,0.9854,0.9814,0.9578,0.6765,0.7099,0.9400,0.4243,0.3592
740,0.8572,0.9853,0.9813,0.9571,0.6721,0.7099,0.9400,0.4212,0.3557
741,0.8553,0.9851,0.9812,0.9565,0.6678,0.7099,0.9400,0.4182,0.3523
742,0.8535,0.9850,0.9811,0.9558,0.6634,0.7099,0.9400,0.4151,0.3489
743,0.8516,0.9849,0.9809,0.9552,0.6590,0.7099,0.9400,0.4120,0.3456
744,0.8498,0.9848,0.9808,0.9545,0.6545,0.7099,0.9400,0.4089,0.3422
745,0.8479,0.9847,0.9807,0.9539,0.6501,0.7099,0.9400,0.4058,0.3388
746,0.8461,0.9845,0.9806,0.9532,0.6456,0.7099,0.9400,0.4027,0.3354
747,0.8443,0.9844,0.9805,0.9526,0.6412,0.7099,0.9400,0.3996,0.3321
748,0.8424,0.9843,0.9803,0.9519,0.6367,0.7099,0.9400,0.3965,0.3287
749,0.8406,0.9842,0.9802,0.9513,0.6322,0.7099,0.9400,0.3933,0.3254
750,0.8388,0.9841,0.9801,0.9506,0.6276,0.7099,0.9400,0.3902,0.3221
751,0.8371,0.9839,0.9794,0.9497,0.6231,0.7099,0.9400,0.3867,0.3185
752,0.8354,0.9837,0.9788,0.9487,0.6186,0.7099,0.9400,0.3833,0.3150
753,0.8337,0.9835,0.9781,0.9477,0.6140,0.7099,0.9400,0.3798,0.3114
754,0.8321,0.9833,0.9775,0.9467,0.6095,0.7099,0.9400,0.3763,0.3079
755,0.8304,0.9831,0.9768,0.9458,0.6049,0.7099,0.9400,0.3729,0.3044
756,0.8287,0.9829,0.9761,0.9448,0.6003,0.7099,0.9400,0.3694,0.3009
757,0.8271,0.9827,0.9755,0.9438,0.5957,0.7099,0.9400,0.3660,0.2974
758,0.8254,0.9825,0.9748,0.9428,0.5911,0.7099,0.9400,0.3625,0.2940
759,0.8237,0.9823,0.9742,0.9419,0.5865,0.7099,0.9400,0.3591,0.2906
760,0.8221,0.9821,0.9735,0.9409,0.5819,0.7099,0.9400,0.3557,0.2871
761,0.8204,0.9819,0.9729,0.9399,0.5773,0.7099,0.9400,0.3522,0.2837
762,0.8188,0.9817,0.9722,0.9390,0.5727,0.7099,0.9400,0.3488,0.2804
763,0.8171,0.9815,0.9715,0.9380,0.5680,0.7099,0.9400,0.3454,0.2770
764,0.8155,0.9813,0.9709,0.9370,0.5634,0.7099,0.9400,0.3420,0.2737
765,0.8138,0.9811,0.9702,0.9361,0.5588,0.7099,0.9400,0.3386,0.2704
766,0.8122,0.9809,0.9696,0.9351,0.5541,0.7099,0.9400,0.3352,0.2671
767,0.8105,0.9807,0.9689,0.9341,0.5495,0.7099,0.9400,0.3319,0.2638
768,0.8089,0.9805,0.9683,0.9332,0.5449,0.7099,0.9400,0.3285,0.2605
769,0.8073,0.9803,0.9676,0.9322,0.5402,0.7099,0.9400,0.3252,0.2573
770,0.8056,0.9801,0.9669,0.9312,0.5356,0.7099,0.9400,0.3218,0.2541
771,0.8040,0.9799,0.9663,0.9303,0.5310,0.7099,0.9400,0.3185,0.2509
772,0.8024,0.9797,0.9656,0.9293,0.5263,0.7099,0.9400,0.3152,0.2477
773,0.8007,0.9795,0.9650,0.9283,0.5217,0.7099,0.9400,0.3119,0.2446
774,0.7991,0.9793,0.9643,0.9274,0.5171,0.7099,0.9400,0.3086,0.2415
775,0.7975,0.9791,0.9637,0.9264,0.5125,0.7099,0.9400,0.3053,0.2384
776,0.7955,0.9789,0.9630,0.9254,0.5079,0.7099,0.9400,0.3020,0.2352
777,0.7935,0.9787,0.9624,0.9245,0.5032,0.7099,0.9400,0.2988,0.2320
778,0.7914,0.9785,0.9617,0.9235,0.4986,0.7099,0.9400,0.2955,0.2289
779,0.7894,0.9783,0.9611,0.9226,0.4940,0.7099,0.9400,0.2923,0.2257
780,0.7874,0.9781,0.9604,0.9216,0.4895,0.7099,0.9400,0.2891,0.2226
781,0.7854,0.9779,0.9594,0.9202,0.4849,0.7099,0.9397,0.2856,0.2193
782,0.7834,0.9777,0.9584,0.9187,0.4803,0.7099,0.9395,0.2821,0.2160
783,0.7814,0.9775,0.9575,0.9173,0.4757,0.7099,0.9392,0.2786,0.2128
784,0.7794,0.9773,0.9565,0.9158,0.4712,0.7099,0.9390,0.2751,0.2096
785,0.7774,0.9771,0.9555,0.9144,0.4666,0.7099,0.9387,0.2717,0.2064
786,0.7754,0.9769,0.9545,0.9130,0.4621,0.7099,0.9385,0.2683,0.2032
787,0.7735,0.9767,0.9536,0.9115,0.4576,0.7099,0.9383,0.2649,0.2001
788,0.7715,0.9765,0.9526,0.9101,0.4531,0.7099,0.9380,0.2615,0.1970
789,0.7695,0.9763,0.9516,0.9087,0.4486,0.7099,0.9377,0.2582,0.1940
790,0.7675,0.9761,0.9506,0.9073,0.4441,0.7099,0.9375,0.2549,0.1910
791,0.7656,0.9759,0.9497,0.9058,0.4396,0.7099,0.9373,0.2516,0.1880
792,0.7636,0.9757,0.9487,0.9044,0.4351,0.7099,0.9370,0.2483,0.1850
793,0.7617,0.9756,0.9477,0.9030,0.4307,0.7099,0.9367,0.2451,0.1821
794,0.7597,0.9754,0.9467,0.9016,0.4263,0.7099,0.9365,0.2419,0.1792
795,0.7578,0.9752,0.9458,0.9001,0.4218,0.7099,0.9363,0.2387,0.1764
796,0.7558,0.9750,0.9448,0.8987,0.4174,0.7099,0.9360,0.2355,0.1735
797,0.7539,0.9748,0.9438,0.8973,0.4131,0.7099,0.9358,0.2324,0.1707
798,0.7519,0.9746,0.9428,0.8959,0.4087,0.7099,0.9355,0.2292,0.1680
799,0.7500,0.9744,0.9419,0.8944,0.4043,0.7099,0.9353,0.2261,0.1653
800,0.7481,0.9742,0.9409,0.8930,0.4000,0.7099,0.9350,0.2231,0.1626
